"Name","Action","Direction"
"{06A8BF12-1BC4-4272-A79A-D077B832477B}","Allow","Outbound"
"{52C60551-BC80-496A-B8B2-969C92434B60}","Allow","Outbound"
"{07D4619F-DAD3-4B9A-B9EF-628F4ED0B562}","Allow","Inbound"
"{42A4DD26-36ED-4BE2-B975-E6391B176D5A}","Allow","Outbound"
"{7FAA7919-C544-4BA0-8903-A1B4C9E1CAA7}","Allow","Inbound"
"{37DE81DC-61E4-41EE-882E-0F9AAAB1735B}","Allow","Outbound"
"{D9199A9A-8CF0-4352-A20C-C61385843C42}","Allow","Inbound"
"{C23F92DB-424A-4944-B170-FAC58B8BAA69}","Allow","Outbound"
"{7FD01DDA-6863-4FFA-9F55-B84A717AC433}","Allow","Outbound"
"{48F19F10-74AB-4CCC-8D2E-A1D5FC44E6E3}","Allow","Outbound"
"{6330A84D-6F1A-4703-8FA0-D628FE4FD62A}","Allow","Inbound"
"{DD85E52D-ACF2-43D5-BA5B-B11E168EFFB3}","Allow","Outbound"
"{CBECA7FA-5966-40E5-BDE3-9CC6F6B94FD6}","Allow","Outbound"
"{37D72743-BF7F-4174-AC8F-A6F894781595}","Allow","Inbound"
"{807B9F50-2F52-4435-A8BA-E962DA68A7CE}","Allow","Outbound"
"{D093488C-F862-4CC7-BF35-EF8C4CCCA091}","Allow","Inbound"
"{28DEAF53-99C8-4340-96F2-5506D66F64EB}","Allow","Outbound"
"{9A3A856F-39D6-4F18-B32D-35973F1FA408}","Allow","Inbound"
"{26CB10E2-2D4A-43A7-B223-4BD46170FD2A}","Allow","Outbound"
"{5911B342-14C6-4A5F-9631-942096A2CB29}","Allow","Inbound"
"{AD78293E-0249-49FC-B856-384CF5694A8D}","Allow","Outbound"
"{2C52C190-2AF7-4DF4-9FAD-ED3B2D122761}","Allow","Inbound"
"{AC653759-26DA-422C-B6E0-67BBCB78D165}","Allow","Outbound"
"{06E4C061-077F-4FF5-83A7-7CD26AFD2DFC}","Allow","Inbound"
"{01E8826B-6BCE-4BD4-9F0D-1713C37DE440}","Allow","Outbound"
"{6B27F805-CDF8-420C-9E11-F52E0C12DA63}","Allow","Outbound"
"{B0A818DC-A3BD-4D30-BE9D-F755DA1C0539}","Allow","Outbound"
"{9F1426D9-F7D4-4BE6-A4C7-6532638E600A}","Allow","Inbound"
"{50EE0D66-F75A-4C60-8687-DDA691BF70EA}","Allow","Outbound"
"{7667749B-8EFB-42C7-B7B4-5F6EC0774BE3}","Allow","Outbound"
"{0532A8FC-2064-46EB-90AB-334B4D819700}","Allow","Inbound"
"{D63EB2E5-3D38-498A-A9DF-B833A909237F}","Allow","Outbound"
"{1AD8E575-D86F-4CE0-AA71-5E087EFF7E0F}","Allow","Inbound"
"{474BE792-EC1F-4D05-8C74-2430C9C5AA86}","Allow","Outbound"
"{4F457697-4AD5-40AF-A9F6-DA8DC12FABA4}","Allow","Outbound"
"{78BB8962-480E-4822-B977-59B83202B218}","Allow","Outbound"
"{060A7EAC-95C2-4370-8BF5-DFADCFE999E8}","Allow","Inbound"
"{C65FC9D0-C3C8-43FD-8AEF-509180DD590D}","Allow","Outbound"
"{EF39111D-38E9-406C-A11F-1838BF3DC9C7}","Allow","Inbound"
"{6A3773CF-217B-4F7E-B067-68219315A364}","Allow","Outbound"
"{09FCB158-8F35-40D3-BD3C-6DC2B2438486}","Allow","Outbound"
"{48B54CC9-6818-4526-815E-B9AC2B7B2BE4}","Allow","Outbound"
"{A82873C5-1170-4B22-B0D1-B4C3C12F7E7D}","Allow","Inbound"
"{0B8A9C53-7A8F-4CE9-A335-B9712631AD9B}","Allow","Outbound"
"{9FF84D17-57BC-4346-B119-6C4C4FCA489B}","Allow","Inbound"
"{2C2A93B9-7501-4224-9E15-43C3193412AA}","Allow","Outbound"
"{F4F9FA5C-1CAF-422C-BEA6-20BF16FF6203}","Allow","Inbound"
"{02D2F601-3D5C-4076-AC6C-FE8FE221B74F}","Allow","Outbound"
"{AE825F69-BC7D-4C48-910C-DA3B3F79EB43}","Allow","Inbound"
"{7A18B198-889B-4776-B178-435E1CFC666F}","Allow","Outbound"
"{BA6F590B-146E-4EBF-AE15-79B4E115CAFB}","Allow","Outbound"
"{86382F0C-65E2-405A-8B75-81B4A4950454}","Allow","Outbound"
"{5A9F9BD9-F720-4B63-93E0-309C19A48CB5}","Allow","Outbound"
"{B92AE953-5BDD-4146-8748-8DC83A2FF3E0}","Allow","Outbound"
"{4B1970D3-5322-4B82-8B5E-43AA43C4D477}","Allow","Outbound"
"{6F711EE0-A076-4C4F-A0BD-F099B842F117}","Allow","Outbound"
"{B0067334-97ED-4911-BDC8-702393D4A0A2}","Allow","Inbound"
"{6DD0BBAF-8B96-47A2-93FC-C484863DD634}","Allow","Outbound"
"{A96C80B5-4D50-44DE-847B-B88B23550B0A}","Allow","Inbound"
"{DA611B0B-EE74-4746-9EDA-7257740699BA}","Allow","Outbound"
"{E3962566-A2DB-45AC-8107-A278F6D441FC}","Allow","Outbound"
"{10EBF18D-27AB-4AD2-B054-8D3887BAD350}","Allow","Outbound"
"{5F2AAA01-5505-40FB-A53B-6BBDE9FB0AAC}","Allow","Outbound"
"{AD1D218B-2EEC-4186-B8B2-529E12F21416}","Allow","Outbound"
"{FEA1F686-315F-4A31-BBAC-9025C8DF0FC2}","Allow","Outbound"
"{178C366B-67D5-46C3-8A10-A920C105ECBC}","Allow","Inbound"
"{A7328D74-007F-428D-8875-434CAAD50872}","Allow","Inbound"
"{3697B6E6-8527-45C9-84F7-28BA7EE4567C}","Allow","Inbound"
"{338437E1-CF5E-4215-83B5-51336A916CF9}","Allow","Outbound"
"{E346B105-6054-4096-8527-B48FFFBA5C5E}","Allow","Inbound"
"{801090FA-5004-4904-A067-A0E898093E9C}","Allow","Outbound"
"{3878C7CE-533A-4F30-9D20-05EB75516B45}","Allow","Outbound"
"{F5451657-5010-4FE5-A688-99D7905952E5}","Allow","Inbound"
"{89A7DD6B-736B-46B1-8BBC-40242ECAA55A}","Allow","Outbound"
"{DA70A2CF-0326-478E-AD4B-7BC66026E8C7}","Allow","Inbound"
"{9A1359BE-4C7A-4EC7-BD2E-CAEA8C065B9E}","Allow","Inbound"
"{4BEA6983-3460-481D-B646-C4BE30ACF005}","Allow","Outbound"
"{7BD72ACB-DD59-43A8-823F-A060A1DC6F04}","Allow","Outbound"
"{1340240B-BB07-4764-AFCF-C0A35C97AA37}","Allow","Inbound"
"{136E629D-479F-43EC-8044-A167E2D6EA3E}","Allow","Outbound"
"{4021571A-1117-4986-8A3B-18D3CB623D5B}","Allow","Inbound"
"{C4BF00FF-E189-44B2-8BE9-4FD00CBA64CA}","Allow","Inbound"
"{9D6FFE83-627E-4DE4-A699-360350D84582}","Allow","Outbound"
"{DA0FE98F-B907-4127-8F1E-E7AE50035EA1}","Allow","Outbound"
"{2D16E683-2C91-42D7-9D17-88521CDA40A8}","Allow","Inbound"
"{01B3154F-D436-4257-983B-10EB49F53EEA}","Allow","Inbound"
"{37F84212-FE66-4AFB-A348-3DEDEBD902FD}","Allow","Inbound"
"{9B69B1B4-775F-4768-8675-9C6253DB16FC}","Allow","Inbound"
"{9E3187ED-92E5-4C19-9490-8AFDC856CDC2}","Allow","Inbound"
"{DFBF9A12-4C7A-4739-8988-A50F8C07B9AC}","Allow","Inbound"
"{87552E28-2972-4720-9328-14D2A0941B64}","Allow","Inbound"
"{22EDA4E4-0200-43AC-AEAF-E03E9DC6E8F0}","Allow","Inbound"
"{7BE41466-67AF-4562-B681-99603705FC20}","Allow","Inbound"
"{BD6E4310-5A75-41A6-998B-E969F50892E9}","Allow","Outbound"
"{C5550A47-71D4-4BAB-B885-2E9E1AAC1C06}","Allow","Outbound"
"{12E9FF1C-1575-4B6C-A8DD-008FD8CCF471}","Allow","Inbound"
"{A5F34030-3329-4DD3-8B07-5C0AAD8BF190}","Allow","Outbound"
"{8C98A74F-1543-420A-AD80-1E6070C0E873}","Allow","Outbound"
"{D2610B6D-E6F4-4751-B7FB-06A4D2DEED68}","Allow","Inbound"
